url,status_code,title_tag,agriculture,disease,dna,weather
http://blog.kaggle.com/,200,No Free Hunch | The Official Blog of Kaggle.com,0,9,0,0
http://blog.kaggle.com/2019/02/14/data-notes-analyzing-ethereum-classic-via-google-bigquery/,200,Data Notes: Analyzing Ethereum Classic via Google BigQuery | No Free Hunch,0,0,0,3
http://blog.kaggle.com/category/kernels/,200,Kernels | No Free Hunch,0,0,0,0
http://blog.kaggle.com/tag/open-data-spotlight/,200,open data spotlight | No Free Hunch,0,0,0,0
http://blog.kaggle.com/tag/product/,200,Product | No Free Hunch,0,0,0,0
http://blog.kaggle.com/tag/tutorial/,200,Tutorial | No Free Hunch,0,0,0,0
http://blog.kaggle.com/2018/12/19/hackathon-winner-interview-penn-state-kaggle-university-club/,200,Hackathon Winner Interview: Penn State | Kaggle University Club | No Free Hunch,0,0,0,0
http://blog.kaggle.com/category/kaggle-news/,200,Kaggle News | No Free Hunch,0,9,0,0
http://blog.kaggle.com/tag/open-data/,200,open data | No Free Hunch,0,0,0,1
http://blog.kaggle.com/tag/data-visualization/,200,data visualization | No Free Hunch,0,0,0,0
http://blog.kaggle.com/tag/product-news/,200,Product News | No Free Hunch,0,0,0,0
http://blog.kaggle.com/tag/heritage-health-prize/,200,Heritage Health Prize | No Free Hunch,0,51,0,0
http://blog.kaggle.com/tag/deep-neural-networks/,200,deep neural networks | No Free Hunch,0,11,0,0
http://blog.kaggle.com/category/open-datasets/,200,Open Datasets | No Free Hunch,0,0,0,0
http://blog.kaggle.com/tag/flight-quest/,200,Flight Quest | No Free Hunch,0,0,0,0
http://blog.kaggle.com/category/tutorials/,200,Tutorials | No Free Hunch,0,0,0,0
http://blog.kaggle.com/tag/kernels/,200,Kernels | No Free Hunch,0,4,0,0
http://blog.kaggle.com/tag/data-notes-tag/,200,Data Notes | No Free Hunch,0,17,0,0
http://blog.kaggle.com/tag/draper-satellite-image-chronology/,200,Draper Satellite Image Chronology | No Free Hunch,0,0,0,0
http://blog.kaggle.com/tag/kaggle-inclass/,200,Kaggle InClass | No Free Hunch,0,0,0,0
http://blog.kaggle.com/tag/recruiting/,200,Recruiting | No Free Hunch,0,0,0,0
http://blog.kaggle.com/tag/1-kaggler/,200,#1 Kaggler | No Free Hunch,0,0,0,0
http://blog.kaggle.com/page/42/,200,No Free Hunch | The Official Blog of Kaggle.com,0,0,0,0
http://blog.kaggle.com/category/pulse-of-the-competition/,200,Pulse of the Competition | No Free Hunch,0,0,0,0
http://blog.kaggle.com/2019/01/18/reviewing-2018-and-previewing-2019/,200,Reviewing 2018 and Previewing 2019 | No Free Hunch,0,0,0,0
http://blog.kaggle.com/author/admin/,200,Anthony Goldbloom | No Free Hunch,0,6,0,0
http://blog.kaggle.com/author/kaggleteam/,200,Kaggle Team | No Free Hunch,0,0,0,0
http://blog.kaggle.com/author/paulmooney/,200,Paul Mooney | No Free Hunch,0,17,0,0
http://blog.kaggle.com/tag/natural-language-processing/,200,natural language processing | No Free Hunch,0,0,0,0
http://blog.kaggle.com/tag/eeg-data/,200,EEG data | No Free Hunch,0,6,0,0
http://blog.kaggle.com/tag/diabetic-retinopathy/,200,Diabetic Retinopathy | No Free Hunch,0,5,0,0
http://blog.kaggle.com/2019/02/28/data-notes-homer-simpson-and-heart-disease/,200,Data Notes: Homer Simpson and Heart Disease | No Free Hunch,0,27,0,0
http://blog.kaggle.com/2019/02/26/mhamedjabri/,200,The Future of AI in Africa Looks Bright | A Winner Interview with Mhamed Jabri | No Free Hunch,0,5,0,0
http://blog.kaggle.com/tag/video-series/,200,video series | No Free Hunch,0,0,0,0
http://blog.kaggle.com/2019/01/31/data-notes-how-to-teach-an-ai-to-dance/,200,Data Notes: How to Teach an AI to Dance | No Free Hunch,0,0,0,0
http://blog.kaggle.com/tag/profiling-top-kagglers/,200,Profiling Top Kagglers | No Free Hunch,0,0,0,0
http://blog.kaggle.com/category/data-science-news/,200,Data Science News | No Free Hunch,0,0,0,0
http://blog.kaggle.com/tag/scikit-learn/,200,scikit-learn | No Free Hunch,0,4,0,0
http://blog.kaggle.com/tag/computer-vision/,200,computer vision | No Free Hunch,0,7,0,0
http://blog.kaggle.com/tag/scripts-of-the-week/,200,scripts of the week | No Free Hunch,0,4,0,0
http://blog.kaggle.com/tag/kaggle-datasets/,200,Kaggle Datasets | No Free Hunch,0,0,0,0
http://blog.kaggle.com/tag/convolutional-neural-networks/,200,convolutional neural networks | No Free Hunch,0,5,0,0
http://blog.kaggle.com/tag/march-mania/,200,March Mania | No Free Hunch,0,0,0,0
http://blog.kaggle.com/tag/binary-classification/,200,binary classification | No Free Hunch,0,4,0,0
http://blog.kaggle.com/tag/dark-matter/,200,Dark Matter | No Free Hunch,0,0,0,0
http://blog.kaggle.com/tag/logistic-regression/,200,logistic regression | No Free Hunch,0,0,0,0
